Name,Category,Reviews,Address
봉수육,"족발,보쌈",리뷰 999+,경기 수원시 장안구 율전로108번길 11 1층
목구멍 율전점,"육류,고기요리",리뷰 999+,경기 수원시 장안구 화산로233번길 46 1층
핵밥 수원성균관대점,덮밥,리뷰 999+,경기 수원시 장안구 서부로 2128 3층
카페로디,"카페,디저트",리뷰 820,경기 수원시 장안구 화산로213번길 11 2층
작은바와 서양면집,양식,리뷰 633,경기 수원시 장안구 하률로 13 1층
라잌댓,"카페,디저트",리뷰 574,경기 수원시 장안구 덕영대로445번길 12
아늑,이탈리아음식,리뷰 999+,경기 수원시 장안구 서부로2106번길 36-4 1층
청년밥상,한식,리뷰 658,경기 수원시 장안구 서부로2136번길 10 1층
정성식탁,이탈리아음식,리뷰 999+,경기 수원시 장안구 서부로2136번길 9 1층 정성식탁
은행나무장어,"장어,먹장어요리",리뷰 603,경기 수원시 장안구 서부로2135번길 27 풍천민물장어
자명문,"카페,디저트",리뷰 755,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호
고기굽는교실 율전3반,"육류,고기요리",리뷰 999+,경기 수원시 장안구 율전로98번길 9
보영만두 성대직영점,분식,리뷰 999+,경기 수원시 장안구 화산로233번길 30
서울24시감자탕,감자탕,리뷰 999+,경기 수원시 장안구 서부로 2163
에스쿱,이탈리아음식,리뷰 629,경기 수원시 장안구 덕영대로445번길 37
모수밀면,국수,리뷰 595,경기 수원시 장안구 율전로107번길 5 해생빌딩 1층
Four Run Burger,햄버거,리뷰 999+,경기 수원시 장안구 만석로19번길 11-7 2층 포런버거
육가든,"육류,고기요리",리뷰 846,경기 수원시 장안구 화산로233번길 62 1층 육가든
포동이네 성대점,"초밥,롤",리뷰 937,경기 수원시 장안구 율전로98번길 6-2
예감쪽갈비 수원성대점,돼지고기구이,리뷰 547,경기 수원시 장안구 율전로98번길 6-9 2층
성대곱창,"곱창,막창,양",리뷰 761,경기 수원시 장안구 율전로 96 1층 성대곱창
옥집,요리주점,리뷰 693,경기 수원시 장안구 화산로233번길 25 1층
보리네주먹고기,돼지고기구이,리뷰 999+,경기 수원시 장안구 율전로98번길 6-9
아무술집 성대직영점,"맥주,호프",리뷰 347,경기 수원시 장안구 화산로233번길 56 101호
키와마루아지,일본식라면,리뷰 751,경기 수원시 장안구 서부로2105번길 26-3 1층 키와마루아지
토기장이 오리&삼겹살 전문점,오리요리,리뷰 999+,경기 수원시 장안구 서부로 2178
플렁드,베이커리,리뷰 552,경기 수원시 장안구 율전로 91 1층
나츠비,이자카야,리뷰 739,경기 수원시 장안구 서부로2106번길 22 1층
정든닭발 성대점,닭발,리뷰 446,경기 수원시 장안구 화산로233번길 61 2층 정든닭발 성대점
블랙스미스,양식,리뷰 615,경기 수원시 장안구 화산로233번길 47 2층
오스테리아우노,"스파게티,파스타전문",리뷰 756,경기 수원시 장안구 율전로98번길 7 102호
최고집 원조 수구레,한식,리뷰 564,경기 수원시 장안구 서부로 2107 1층 최고집 원조 수구레
카마타케제면소 성대역사점,"우동,소바",리뷰 854,경기 수원시 장안구 서부로 2149 4층 405호 카마타케제면소
정통집 수원성대점,돼지고기구이,리뷰 261,경기 수원시 장안구 서부로2105번길 12 1층
드럼통돌구이,닭갈비,리뷰 435,경기 수원시 장안구 율전로108번길 9
생마차 수원성대점,이자카야,리뷰 101,경기 수원시 장안구 화산로233번길 49
쟈스민,베트남음식,리뷰 611,경기 수원시 장안구 화산로213번길 9-3
주량 성대직영점,요리주점,리뷰 541,경기 수원시 장안구 서부로2105번길 26-8 101호
하우짓 블랙,"카페,디저트",리뷰 360,경기 수원시 장안구 화산로213번길 25 2층 하우짓 블랙
소주방 율전점,"전통,민속주점",리뷰 329,"경기 수원시 장안구 서부로2123번길 20-1 B동 103, 104호"
오르카커피룸,"카페,디저트",리뷰 401,경기 수원시 장안구 화산로 235 101호
무지개맥주 성균관대점,"맥주,호프",리뷰 206,경기 수원시 장안구 서부로2123번길 20 102호
최가네,한식,리뷰 190,경기 수원시 장안구 서부로2126번길 27 . 1층
담은샤브칼국수 직영1호점,"칼국수,만두",리뷰 649,경기 수원시 장안구 화산로233번길 60 1층 정성담은샤브칼국수
매머드익스프레스 수원성대역점,카페,리뷰 999+,경기 수원시 장안구 서부로 2139 1층 매머드 익스프레스
주야,요리주점,리뷰 318,경기 수원시 장안구 서부로2135번길 30 1층 주야
